4.4359,12.96764,29.32187,42.77929,110.82033,48.6,39.9,2.79,1.69,1.02,2.19,2.04,0.09,0.67,0.93,8.63,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,357.0552147,23.28482328
3.81386,8.62374,13.36547,17.27957,78.28901,46.2,43.7,2.2,0,0.76,2.74,1.81,0.27,0.73,1.37,4.79,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,408.5889571,18.91891892
6.97962,24.45972,71.50406,101.21604,487.1515,49.2,31,6.56,2.97,1.19,2.05,2.85,0.25,2.26,1.54,4.38,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,184.0490798,34.0956341
5.82226,14.41427,38.48592,55.30726,130.85728,48.3,32,6.57,5.17,1.33,1.31,1.83,0.22,1.97,1.09,6.26,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,158.2822086,37.21413721
3.13374,9.30045,18.08081,26.78068,71.50406,50.2,32.7,3.56,3.22,1.07,2.79,2.58,0.23,2.22,1.28,4.68,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,128.8343558,42.82744283
8.36705,27.60228,75.95868,105.90937,250.58215,49.8,32.1,6.29,2.68,1.28,1.97,2.14,0.23,2.02,1.27,4.79,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,143.5582822,31.18503119
5.15939,14.85648,40.27049,59.64727,161.6819,46.9,37.5,3.1,3.33,1.08,4.57,1.33,0.24,0.65,1.04,3.6,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,467.4846626,16.42411642
4.71225,10.33798,16.2662,21.02978,64.32784,44.6,46.1,1.97,1.99,0.65,2.03,0.77,0.27,0.78,0.81,3.8,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,327.607362,21.41372141
5.73496,11.31894,17.02045,21.67495,66.30134,51.59,28.38,10.97,0.14,2.89,1.7,0.29,1.09,1.65,0.56,0.65,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,158.2822086,9.563409563
5.82226,12.0241,20.09785,27.60228,74.81966,60.3,22.62,6.2,0.14,2.57,2.59,0.53,0.45,2.36,1.48,7.03,7.297767265,10.811,4273,13,84,2460,3.03,26.7,2.04,8.29802,50.2,1.524,0,1.026,11.087,50.2,2348,72,0,0,0,0,5,1,0,2,5,5,3,3.03,2,166,143.5582822,8.731808732
